Lexical Feature,Spearman Correlation,p-value
DISC_RefExprPronounsPerNoun,-0.09621531903747375,0.5295253467277855
DISC_RefExprPronounsPerSen,0.1002440183182108,0.5123469071167597
DISC_RefExprPronounsPerWord,-0.026386103722935393,0.8633964025849062
DISC_RefExprPerPronounsPerSen,0.1002440183182108,0.5123469071167597
DISC_RefExprPerProPerWord,-0.026386103722935393,0.8633964025849062
DISC_RefExprPossProPerSen,,
DISC_RefExprPossProPerWord,,
DISC_RefExprDefArtPerSen,,
DISC_RefExprDefArtPerWord,,
DISC_RefExprProperNounsPerNoun,-0.24418718796225297,0.10597777517616185
