Lexical Feature,Spearman Correlation,p-value
DISC_RefExprPronounsPerNoun,-0.118237519786026,0.4391904254058645
DISC_RefExprPronounsPerSen,-0.13237723852303127,0.386025002377853
DISC_RefExprPronounsPerWord,-0.15175756451793318,0.3196621259574014
DISC_RefExprPerPronounsPerSen,-0.13237723852303127,0.386025002377853
DISC_RefExprPerProPerWord,-0.15175756451793318,0.3196621259574014
DISC_RefExprPossProPerSen,,
DISC_RefExprPossProPerWord,,
DISC_RefExprDefArtPerSen,,
DISC_RefExprDefArtPerWord,,
DISC_RefExprProperNounsPerNoun,-0.024704719805244937,0.8720262408902193
