Lexical Feature,Spearman Correlation,p-value
DISC_RefExprPronounsPerNoun,-0.04157495157681034,0.7862661588340555
DISC_RefExprPronounsPerSen,0.12821055359534672,0.4012829419642896
DISC_RefExprPronounsPerWord,0.06928702114788264,0.6510843159012394
DISC_RefExprPerPronounsPerSen,0.12821055359534672,0.4012829419642896
DISC_RefExprPerProPerWord,0.06928702114788264,0.6510843159012394
DISC_RefExprPossProPerSen,,
DISC_RefExprPossProPerWord,,
DISC_RefExprDefArtPerSen,,
DISC_RefExprDefArtPerWord,,
DISC_RefExprProperNounsPerNoun,-0.32911335045244244,0.027276674412660382
