,Correlation
POS_numNouns,-0.04777831329330958
POS_numProperNouns,-0.011944971774200348
POS_numPronouns,-0.045789058467768
POS_numConjunct,0.09555662658661916
POS_numAdjectives,0.039815261077757985
POS_numVerbs,-0.05175983940108538
POS_numAdverbs,0.10750474596780313
POS_numModals,
POS_numPrepositions,-0.02388915664665479
POS_numInterjections,0.3003310474258347
POS_numPerPronouns,-0.045789058467768
POS_numWhPronouns,
POS_numLexicals,0.08361480241940243
POS_numFunctionWords,0.13139036155660136
POS_numDeterminers,-0.14731646598770454
POS_numVerbsVB,0.039815261077757985
POS_numVerbsVBG,
POS_numVerbsVBN,-0.16722409652658354
POS_numVerbsVBP,
POS_numVerbsVBZ,
POS_advVar,0.10551391733876975
POS_adjVar,0.051761544354868176
POS_modVar,0.11148273101772235
POS_nounVar,-0.09356894556456939
POS_verbVar1,0.031854307370550214
POS_verbVar2,-0.05972289161663698
POS_squaredVerbVar1,0.02787160080646748
POS_correctedVV1,0.02787160080646748
localNounOverlapCount,
localArgumentOverlapCount,-0.09161131764477536
localStemOverlapCount,-0.05377363298723142
localContentWordOverlap,0.0
globalNounOverlapCount,
globalArgumentOverlapCount,-0.07963052215551597
globalStemOverlapCount,-0.07564899604774017
globalContentWordOverlap,0.035833734969982184
TTR,0.14135814571245395
CorrectedTTR,0.18515926128532703
RootTTR,0.18515926128532703
BilogTTR,0.19312310048039485
MTLD,0.03185220886220639
conjunctToSent,0.0
conjunctTypesToSent,-0.07368979335287269
conjunctToWords,0.09157510047884336
conjunctNum,0.08580654697540192
conjunctTypesToTotal,-0.0856677357188655
conjunctNeighborSent,0.24629582020749743
Segment,
WC,-0.2093067756641545
WPS,-0.029895699523128743
BigWords,0.2092698966619012
emopos,-0.023490305917666682
emoneg,0.20716369015796737
anxiete,0.06962050564029573
colère,0.09961658234496112
tristesse,0.12560517799995213
cognition,0.15802012605082336
perspicacite,0.24774214493117747
cause,0.07901284717760611
divergence,0.0918419246285258
tentative,-0.07474978510854492
certitude,0.1494943012312311
inhibition,0.3929702988563505
inclusion,-0.21362352674875898
exclusion,-0.027763227371514352
perception,-0.16872689058641027
remplisseur,
Unnamed: 5,
Unnamed: 6,
Unnamed: 7,
Unnamed: 8,
Unnamed: 9,
Unnamed: 10,
Unnamed: 11,
Unnamed: 12,
Unnamed: 13,
Unnamed: 14,
Unnamed: 15,
Unnamed: 16,
Unnamed: 17,
Unnamed: 18,
Unnamed: 19,
Unnamed: 20,
Unnamed: 21,
Unnamed: 38,
Unnamed: 39,
Unnamed: 40,
Unnamed: 41,
Unnamed: 42,
DISC_RefExprPronounsPerNoun,-0.025881624738572046
DISC_RefExprPronounsPerSen,-0.05774544426499502
DISC_RefExprPronounsPerWord,-0.011944578323327395
DISC_RefExprPerPronounsPerSen,-0.05774544426499502
DISC_RefExprPerProPerWord,-0.011944578323327395
DISC_RefExprPossProPerSen,
DISC_RefExprPossProPerWord,
DISC_RefExprDefArtPerSen,
DISC_RefExprDefArtPerWord,
DISC_RefExprProperNounsPerNoun,0.007963052215551597
