Lexical Feature,Spearman Correlation,p-value
DISC_RefExprPronounsPerNoun,0.04993407170128291,0.7446171574999217
DISC_RefExprPronounsPerSen,0.08610741117049954,0.573831339587604
DISC_RefExprPronounsPerWord,0.08264405317802183,0.5893920961576999
DISC_RefExprPerPronounsPerSen,0.08610741117049954,0.573831339587604
DISC_RefExprPerProPerWord,0.08264405317802183,0.5893920961576999
DISC_RefExprPossProPerSen,,
DISC_RefExprPossProPerWord,,
DISC_RefExprDefArtPerSen,,
DISC_RefExprDefArtPerWord,,
DISC_RefExprProperNounsPerNoun,0.003443502215750909,0.9820892106262971
