Lexical Feature,Spearman Correlation,p-value
DISC_RefExprPronounsPerNoun,-0.02588162473857205,0.865984077886043
DISC_RefExprPronounsPerSen,-0.057745444264995026,0.7063354091202441
DISC_RefExprPronounsPerWord,-0.011944578323327395,0.9379278039089322
DISC_RefExprPerPronounsPerSen,-0.057745444264995026,0.7063354091202441
DISC_RefExprPerProPerWord,-0.011944578323327395,0.9379278039089322
DISC_RefExprPossProPerSen,,
DISC_RefExprPossProPerWord,,
DISC_RefExprDefArtPerSen,,
DISC_RefExprDefArtPerWord,,
DISC_RefExprProperNounsPerNoun,0.007963052215551596,0.9585961277204289
