Lexical Feature,Spearman Correlation,p-value
DISC_RefExprPronounsPerNoun,-0.17903095003489494,0.23930857877704986
DISC_RefExprPronounsPerSen,-0.17010742358916406,0.26392160818998667
DISC_RefExprPronounsPerWord,-0.14321532462094053,0.34797053948045165
DISC_RefExprPerPronounsPerSen,-0.17010742358916406,0.26392160818998667
DISC_RefExprPerProPerWord,-0.14321532462094053,0.34797053948045165
DISC_RefExprPossProPerSen,,
DISC_RefExprPossProPerWord,,
DISC_RefExprDefArtPerSen,,
DISC_RefExprDefArtPerWord,,
DISC_RefExprProperNounsPerNoun,-0.47440076280686555,0.0009936016050962867
